nameOfTheBtn,description
startInterview,`Start Interview` button opens the interview page
restartBtn,`Home` button returns to the home page and restarts the interview and data
btnStart,`Start` button that starts the interview
btn,The answers buttons
btnShowTranscript,`Show Transcript` button that shows the transcript of the interview
btnRevisitQ,`Revisit this question` button that revisits a specific question
btnConclusion,`Show Conclusion` button that opens the conclusion page
btnDownloadTranscript,`Download Transcript` button that downloads the transcript 
backToWelcomePage,`Home` button that returns to the home page and restarts the interview and data 
feedbackBtn,`Write Feedback` button that opens the feedback input
feedbackSubmitBtn,`Submit Feedback` button that submits the feedback 
btnDownloadConclusions,`Download Conclusions` button that downloads the conclusions
btnShowTags,`Show Current Tags (intermediate result)` button that shows the tags
